Date,Close,Open,High,Low,Vol.,change
2020-01-02,"2,175.17","2,201.21","2,202.32","2,171.84",494.68M,-1.02%
2020-01-03,"2,176.46","2,192.58","2,203.38","2,165.39",631.56M,0.06%
2020-01-06,"2,155.07","2,154.97","2,164.42","2,149.95",592.67M,-0.98%
2020-01-07,"2,175.54","2,166.60","2,181.62","2,164.27",568.24M,0.95%
2020-01-08,"2,151.31","2,156.27","2,162.32","2,137.72",913.83M,-1.11%
2020-01-09,"2,186.45","2,182.20","2,186.45","2,172.16",592.60M,1.63%
2020-01-10,"2,206.39","2,189.48","2,206.92","2,188.10",594.54M,0.91%
2020-01-13,"2,229.26","2,204.49","2,230.43","2,204.49",488.29M,1.04%
2020-01-14,"2,238.88","2,243.06","2,250.79","2,232.94",835.90M,0.43%
2020-01-15,"2,230.98","2,229.80","2,238.21","2,223.39",746.16M,-0.35%
2020-01-16,"2,248.05","2,231.93","2,249.09","2,225.41",808.33M,0.77%
2020-01-17,"2,250.57","2,261.57","2,268.71","2,245.58",580.82M,0.11%
2020-01-20,"2,262.64","2,261.40","2,277.23","2,258.09",545.49M,0.54%
2020-01-21,"2,239.69","2,259.81","2,266.31","2,238.25",770.32M,-1.01%
2020-01-22,"2,267.25","2,238.53","2,269.27","2,235.13",608.51M,1.23%
2020-01-23,"2,246.13","2,254.54","2,260.63","2,241.94",509.61M,-0.93%
2020-01-28,"2,176.72","2,192.22","2,199.93","2,166.23",808.88M,-3.09%
2020-01-29,"2,185.28","2,188.18","2,195.45","2,172.33",692.30M,0.39%
2020-01-30,"2,148.00","2,181.54","2,187.45","2,139.72",602.84M,-1.71%
2020-01-31,"2,119.01","2,160.60","2,167.23","2,119.01",710.51M,-1.35%
2020-02-03,"2,118.88","2,086.61","2,126.73","2,082.74",836.70M,-0.01%
2020-02-04,"2,157.90","2,121.22","2,162.32","2,120.53",624.64M,1.84%
2020-02-05,"2,165.63","2,177.26","2,181.52","2,154.88",574.40M,0.36%
2020-02-06,"2,227.94","2,184.77","2,229.99","2,182.25",695.22M,2.88%
2020-02-07,"2,211.95","2,221.49","2,223.92","2,198.14",800.34M,-0.72%
2020-02-10,"2,201.07","2,185.63","2,203.39","2,180.51",609.57M,-0.49%
2020-02-11,"2,223.12","2,213.50","2,233.32","2,211.25",526.21M,1.00%
2020-02-12,"2,238.38","2,225.95","2,242.24","2,214.77",632.46M,0.69%
2020-02-13,"2,232.96","2,245.72","2,255.49","2,230.30",638.67M,-0.24%
2020-02-14,"2,243.59","2,232.71","2,251.50","2,221.90",597.22M,0.48%
2020-02-17,"2,242.17","2,243.07","2,250.05","2,230.26",458.25M,-0.06%
2020-02-18,"2,208.88","2,225.98","2,232.93","2,205.21",470.42M,-1.48%
2020-02-19,"2,210.34","2,222.51","2,226.00","2,191.20",591.16M,0.07%
2020-02-20,"2,195.50","2,223.55","2,228.18","2,186.72",709.56M,-0.67%
2020-02-21,"2,162.84","2,165.65","2,184.43","2,160.28",635.47M,-1.49%
2020-02-24,"2,079.04","2,114.04","2,120.06","2,079.03",948.62M,-3.87%
2020-02-25,"2,103.61","2,075.55","2,105.49","2,071.50",1.57B,1.18%
2020-02-26,"2,076.77","2,064.07","2,089.64","2,059.13",810.94M,-1.28%
2020-02-27,"2,054.89","2,073.87","2,085.40","2,049.15",562.77M,-1.05%
2020-02-28,"1,987.01","2,020.17","2,031.01","1,980.82",671.55M,-3.30%
2020-03-02,"2,002.51","1,997.03","2,017.07","1,969.34",528.10M,0.78%
2020-03-03,"2,014.15","2,051.85","2,051.85","2,009.39",615.69M,0.58%
2020-03-04,"2,059.33","2,005.81","2,063.59","2,005.81",606.29M,2.24%
2020-03-05,"2,085.26","2,078.11","2,089.08","2,059.99",675.20M,1.26%
2020-03-06,"2,040.22","2,053.09","2,062.57","2,032.13",865.59M,-2.16%
2020-03-09,"1,954.77","1,981.02","1,989.50","1,946.90",666.87M,-4.19%
2020-03-10,"1,962.93","1,942.85","1,968.17","1,934.72",638.56M,0.42%
2020-03-11,"1,908.27","1,965.67","1,967.70","1,898.27",679.72M,-2.78%
2020-03-12,"1,834.33","1,887.97","1,897.23","1,808.56",850.34M,-3.87%
2020-03-13,"1,771.44","1,722.68","1,809.31","1,680.60",1.04B,-3.43%
2020-03-16,"1,714.86","1,805.43","1,805.43","1,714.38",682.00M,-3.19%
2020-03-17,"1,672.44","1,640.84","1,722.97","1,637.88",649.78M,-2.47%
2020-03-18,"1,591.20","1,686.12","1,693.95","1,591.12",728.01M,-4.86%
2020-03-19,"1,457.64","1,626.09","1,626.09","1,439.43",977.67M,-8.39%
2020-03-20,"1,566.15","1,498.49","1,566.82","1,466.48",817.02M,7.44%
2020-03-23,"1,482.46","1,474.45","1,516.75","1,458.41",647.53M,-5.34%
2020-03-24,"1,609.97","1,523.69","1,609.97","1,508.68",679.29M,8.60%
2020-03-25,"1,704.76","1,668.19","1,707.64","1,645.28",872.81M,5.89%
2020-03-26,"1,686.24","1,699.11","1,735.75","1,679.23",992.47M,-1.09%
2020-03-27,"1,717.73","1,756.07","1,759.05","1,668.21",1.08B,1.87%
2020-03-30,"1,717.12","1,670.34","1,729.63","1,659.95",767.78M,-0.04%
2020-03-31,"1,754.64","1,739.29","1,757.81","1,722.62",1.04B,2.19%
2020-04-01,"1,685.46","1,737.28","1,762.44","1,685.37",1.24B,-3.94%
2020-04-02,"1,724.86","1,693.53","1,726.76","1,664.13",766.31M,2.34%
2020-04-03,"1,725.44","1,731.17","1,743.91","1,706.68",1.00B,0.03%
2020-04-06,"1,791.88","1,745.25","1,794.19","1,742.67",1.22B,3.85%
2020-04-07,"1,823.60","1,826.72","1,838.97","1,791.92",951.74M,1.77%
2020-04-08,"1,807.14","1,815.75","1,842.16","1,801.80",907.49M,-0.90%
2020-04-09,"1,836.21","1,838.09","1,839.33","1,818.30",920.57M,1.61%
2020-04-10,"1,860.70","1,835.76","1,861.10","1,824.43",992.55M,1.33%
2020-04-13,"1,825.76","1,853.30","1,853.30","1,825.76",1.02B,-1.88%
2020-04-14,"1,857.08","1,846.41","1,864.46","1,837.17",886.77M,1.72%
2020-04-16,"1,857.07","1,839.51","1,862.23","1,828.13",878.34M,0.00%
2020-04-17,"1,914.53","1,893.31","1,926.02","1,893.19",1.67B,3.09%
2020-04-20,"1,898.36","1,908.34","1,925.25","1,893.17",1.09B,-0.84%
2020-04-21,"1,879.38","1,886.78","1,898.32","1,841.66",1.17B,-1.00%
2020-04-22,"1,896.15","1,855.51","1,897.90","1,844.85",820.36M,0.89%
2020-04-23,"1,914.73","1,907.45","1,923.53","1,895.98",683.72M,0.98%
2020-04-24,"1,889.01","1,906.07","1,908.29","1,880.71",933.92M,-1.34%
2020-04-27,"1,922.77","1,897.06","1,929.82","1,894.62",735.66M,1.79%
2020-04-28,"1,934.09","1,931.25","1,941.79","1,911.63",1.17B,0.59%
2020-04-29,"1,947.56","1,936.89","1,957.51","1,934.31",1.98B,0.70%
2020-05-04,"1,895.37","1,906.42","1,918.66","1,894.29",1.15B,-2.68%
2020-05-06,"1,928.76","1,919.45","1,928.76","1,902.55",1.08B,1.76%
2020-05-07,"1,928.61","1,922.00","1,938.50","1,918.57",775.66M,-0.01%
2020-05-08,"1,945.82","1,944.94","1,956.89","1,942.54",784.77M,0.89%
2020-05-11,"1,935.40","1,953.51","1,960.46","1,932.87",591.28M,-0.54%
