Date,Close,Open,High,Low,Vol.,change
2020-01-02,"5,100.27","5,075.89","5,100.27","5,070.05",33.19M,0.48%
2020-01-05,"5,027.96","5,096.20","5,096.20","5,022.05",29.98M,-1.42%
2020-01-06,"5,007.68","5,029.22","5,050.24","5,007.64",35.04M,-0.40%
2020-01-07,"5,056.75","5,007.68","5,056.75","5,007.68",21.71M,0.98%
2020-01-08,"5,019.36","5,053.39","5,053.39","4,995.82",24.15M,-0.74%
2020-01-09,"5,075.69","5,021.90","5,075.69","5,021.90",43.15M,1.12%
2020-01-12,"5,083.98","5,075.69","5,089.44","5,075.69",14.78M,0.16%
2020-01-13,"5,113.75","5,083.98","5,113.75","5,079.22",38.91M,0.59%
2020-01-14,"5,168.62","5,113.75","5,168.62","5,104.83",41.07M,1.07%
2020-01-15,"5,174.05","5,168.62","5,174.18","5,135.33",39.24M,0.11%
2020-01-16,"5,179.12","5,174.05","5,184.34","5,156.85",27.05M,0.10%
2020-01-19,"5,174.00","5,180.14","5,189.97","5,169.86",24.48M,-0.10%
2020-01-20,"5,213.25","5,174.42","5,222.21","5,158.14",22.92M,0.76%
2020-01-21,"5,184.53","5,212.74","5,214.29","5,182.80",25.66M,-0.55%
2020-01-22,"5,234.02","5,184.53","5,234.02","5,183.48",30.31M,0.95%
2020-01-23,"5,244.69","5,235.04","5,256.06","5,202.65",29.13M,0.20%
2020-01-26,"5,230.01","5,244.69","5,246.87","5,229.22",17.56M,-0.28%
2020-01-27,"5,167.24","5,224.93","5,236.28","5,166.75",29.80M,-1.20%
2020-01-28,"5,178.26","5,167.24","5,203.87","5,167.24",31.71M,0.21%
2020-01-29,"5,165.06","5,175.45","5,211.34","5,163.78",37.80M,-0.25%
2020-01-30,"5,156.19","5,165.99","5,178.29","5,154.39",37.01M,-0.17%
2020-02-02,"5,115.92","5,153.95","5,153.95","5,112.02",12.09M,-0.78%
2020-02-03,"5,076.67","5,118.27","5,140.36","5,060.09",25.03M,-0.77%
2020-02-04,"5,095.52","5,076.27","5,108.30","5,070.66",39.88M,0.37%
2020-02-05,"5,080.79","5,095.54","5,106.53","5,059.90",94.88M,-0.29%
2020-02-06,"5,087.21","5,080.85","5,098.06","5,070.97",40.57M,0.13%
2020-02-09,"5,090.21","5,087.27","5,104.07","5,083.66",30.59M,0.06%
2020-02-10,"5,093.38","5,090.47","5,106.24","5,088.05",33.31M,0.06%
2020-02-11,"5,073.38","5,092.45","5,093.64","5,065.37",50.62M,-0.39%
2020-02-12,"5,065.69","5,074.44","5,079.26","5,062.65",50.08M,-0.15%
2020-02-13,"5,037.46","5,065.80","5,068.79","5,017.92",46.55M,-0.56%
2020-02-16,"5,062.82","5,038.40","5,065.10","5,038.02",22.58M,0.50%
2020-02-17,"5,082.46","5,063.64","5,082.50","5,061.27",37.30M,0.39%
2020-02-18,"5,055.74","5,081.34","5,081.34","5,054.07",27.42M,-0.53%
2020-02-19,"5,073.82","5,054.68","5,073.82","5,048.38",81.62M,0.36%
2020-02-20,"5,033.15","5,073.99","5,073.99","5,032.47",29.82M,-0.80%
2020-02-23,"5,041.86","5,033.98","5,061.09","5,032.93",21.54M,0.17%
2020-02-24,"4,931.04","5,041.86","5,043.49","4,929.51",61.31M,-2.20%
2020-02-25,"4,936.37","4,927.26","4,979.44","4,920.12",44.33M,0.11%
2020-02-26,"4,890.68","4,931.32","4,953.82","4,884.75",44.33M,-0.93%
2020-02-27,"4,901.43","4,889.67","4,987.96","4,881.67",42.14M,0.22%
2020-03-01,"4,723.82","4,894.81","4,894.81","4,686.32",68.87M,-3.62%
2020-03-02,"4,763.48","4,724.16","4,824.84","4,724.16",38.79M,0.84%
2020-03-03,"4,806.18","4,763.85","4,870.43","4,763.85",33.77M,0.90%
2020-03-04,"4,669.66","4,804.14","4,804.14","4,655.55",37.17M,-2.84%
2020-03-05,"4,643.09","4,669.66","4,683.91","4,607.74",38.11M,-0.57%
2020-03-08,"4,393.85","4,625.79","4,625.79","4,326.76",70.12M,-5.37%
2020-03-09,"4,039.59","4,363.83","4,363.83","4,009.12",143.92M,-8.06%
2020-03-10,"4,262.64","4,034.13","4,310.34","4,031.33",76.42M,5.52%
2020-03-11,"4,235.51","4,267.73","4,290.78","4,225.18",57.84M,-0.64%
2020-03-12,"3,922.18","4,228.78","4,228.78","3,921.41",140.20M,-7.40%
2020-03-15,"3,849.25","3,930.32","3,976.81","3,751.75",64.36M,-1.86%
2020-03-16,"3,548.04","3,843.65","3,843.65","3,548.04",112.43M,-7.83%
2020-03-17,"3,323.35","3,549.06","3,555.98","3,323.11",122.68M,-6.33%
2020-03-18,"3,399.61","3,326.91","3,475.71","3,304.36",82.38M,2.29%
2020-03-19,"3,685.56","3,397.07","3,715.25","3,307.52",108.11M,8.41%
2020-03-22,"3,552.61","3,674.88","3,674.88","3,552.61",35.58M,-3.61%
2020-03-23,"3,442.09","3,552.61","3,552.61","3,429.42",43.13M,-3.11%
2020-03-24,"3,651.40","3,443.35","3,719.84","3,431.65",51.99M,6.08%
2020-03-25,"3,921.39","3,653.93","3,923.75","3,653.93",93.30M,7.39%
2020-03-26,"3,770.73","3,907.14","3,909.74","3,768.38",30.01M,-3.84%
2020-03-29,"3,878.84","3,759.54","3,885.67","3,688.97",61.55M,2.87%
2020-03-30,"3,744.13","3,878.84","3,893.10","3,738.70",70.80M,-3.47%
2020-03-31,"3,734.69","3,739.92","3,779.30","3,691.36",72.96M,-0.25%
2020-04-01,"3,745.10","3,722.99","3,751.20","3,680.39",52.68M,0.28%
2020-04-02,"3,758.35","3,733.91","3,758.73","3,672.57",41.47M,0.35%
2020-04-05,"3,676.46","3,749.20","3,777.48","3,639.86",41.82M,-2.18%
2020-04-06,"3,722.94","3,668.89","3,723.24","3,655.88",87.41M,1.26%
2020-04-07,"3,928.23","3,731.59","3,944.16","3,724.44",77.10M,5.51%
2020-04-08,"3,866.83","3,930.34","3,930.34","3,827.40",38.91M,-1.56%
2020-04-09,"4,113.67","3,868.36","4,113.67","3,868.36",54.42M,6.38%
2020-04-12,"4,200.80","4,113.67","4,298.49","4,113.67",43.40M,2.12%
2020-04-13,"4,135.45","4,200.80","4,249.47","4,127.28",66.36M,-1.56%
2020-04-14,"4,178.70","4,135.03","4,266.34","4,086.22",42.13M,1.05%
2020-04-15,"4,127.44","4,182.77","4,254.26","4,113.93",33.09M,-1.23%
2020-04-16,"3,969.51","4,126.93","4,126.93","3,969.32",34.40M,-3.83%
2020-04-19,"4,083.60","3,973.58","4,103.51","3,973.58",25.50M,2.87%
2020-04-20,"3,969.05","4,083.60","4,104.19","3,962.10",35.96M,-2.81%
2020-04-21,"3,860.46","3,969.05","3,969.05","3,846.53",58.74M,-2.74%
2020-04-22,"3,987.06","3,860.46","3,987.06","3,800.02",70.27M,3.28%
2020-04-23,"4,062.99","3,990.62","4,123.89","3,990.62",90.47M,1.90%
2020-04-26,"4,181.84","4,061.98","4,182.94","4,045.94",58.38M,2.93%
2020-04-27,"4,170.08","4,184.08","4,239.95","4,170.08",67.08M,-0.28%
2020-04-28,"4,220.58","4,169.23","4,220.58","4,097.24",68.08M,1.21%
2020-04-29,"4,221.98","4,221.59","4,244.85","4,185.31",64.27M,0.03%
2020-04-30,"4,230.37","4,222.82","4,248.77","4,179.56",60.78M,0.20%
2020-05-03,"4,105.68","4,230.37","4,230.37","4,103.70",32.99M,-2.95%
2020-05-04,"4,037.83","4,104.67","4,117.78","4,021.17",57.92M,-1.65%
2020-05-05,"4,103.82","4,038.67","4,110.96","4,038.67",49.26M,1.63%
2020-05-06,"4,021.55","4,104.29","4,109.26","4,021.55",33.84M,-2.00%
2020-05-07,"4,061.62","4,021.32","4,098.13","4,015.11",23.72M,1.00%
2020-05-10,"4,118.74","4,062.47","4,118.74","4,047.50",20.90M,1.41%
2020-05-11,"4,120.56","4,118.74","4,121.71","4,040.53",34.69M,0.04%
2020-05-12,"4,134.10","4,114.15","4,158.98","4,103.14",37.25M,0.33%
2020-05-13,"4,058.95","4,132.42","4,132.42","4,035.88",42.84M,-1.82%
2020-05-14,"4,067.03","4,056.71","4,069.81","4,023.22",28.36M,0.20%
2020-05-17,"4,065.03","4,068.71","4,084.29","4,050.16",19.80M,-0.05%
2020-05-18,"4,060.51","4,067.57","4,083.03","4,058.26",45.87M,-0.11%
2020-05-19,"4,074.30","4,062.54","4,101.81","4,062.54",49.15M,0.34%
2020-05-20,"4,130.84","4,074.30","4,131.69","4,072.50",107.10M,1.39%
2020-05-21,"4,112.90","4,131.12","4,149.05","4,107.99",46.82M,-0.43%
2020-05-27,"4,133.76","4,114.43","4,165.76","4,114.43",57.45M,0.51%
2020-05-28,"4,119.32","4,135.87","4,158.74","4,104.46",138.92M,-0.35%
2020-05-31,"4,141.61","4,116.77","4,147.77","4,098.17",32.96M,0.54%
2020-06-01,"4,170.71","4,142.12","4,170.75","4,133.10",59.60M,0.70%
2020-06-02,"4,277.38","4,168.68","4,277.49","4,167.09",39.94M,2.56%
2020-06-03,"4,284.73","4,277.72","4,284.73","4,254.40",60.72M,0.17%
2020-06-04,"4,303.14","4,285.16","4,303.14","4,263.67",60.38M,0.43%
2020-06-07,"4,405.32","4,303.98","4,421.60","4,303.98",95.52M,2.37%
2020-06-08,"4,369.08","4,406.59","4,408.55","4,320.03",86.06M,-0.82%
2020-06-09,"4,332.28","4,367.40","4,377.93","4,308.60",44.03M,-0.84%
2020-06-10,"4,331.27","4,332.49","4,342.16","4,310.22",36.69M,-0.02%
2020-06-11,"4,294.88","4,330.25","4,330.25","4,242.82",34.14M,-0.84%
2020-06-14,"4,276.40","4,294.88","4,294.88","4,232.73",23.83M,-0.43%
2020-06-15,"4,267.76","4,275.89","4,286.94","4,227.65",51.00M,-0.20%
2020-06-16,"4,328.61","4,270.70","4,340.09","4,270.70",40.04M,1.43%
2020-06-17,"4,376.42","4,331.37","4,376.42","4,281.53",56.52M,1.10%
2020-06-18,"4,345.28","4,373.07","4,373.07","4,326.46",97.75M,-0.71%
2020-06-21,"4,334.75","4,345.28","4,345.28","4,321.65",27.52M,-0.24%
2020-06-22,"4,346.92","4,334.75","4,348.71","4,319.87",32.33M,0.28%
2020-06-23,"4,319.53","4,346.92","4,350.66","4,319.53",39.58M,-0.63%
2020-06-24,"4,329.72","4,319.53","4,347.03","4,300.42",70.89M,0.24%
2020-06-25,"4,285.59","4,327.49","4,327.49","4,268.58",26.76M,-1.02%
2020-06-28,"4,304.55","4,283.56","4,320.10","4,273.73",16.20M,0.44%
2020-06-29,"4,275.33","4,303.44","4,311.79","4,267.65",21.61M,-0.68%
2020-06-30,"4,285.80","4,293.87","4,295.80","4,261.42",31.01M,0.24%
2020-07-01,"4,285.06","4,285.38","4,314.70","4,267.67",23.76M,-0.02%
2020-07-02,"4,311.72","4,284.69","4,315.22","4,284.69",40.27M,0.62%
2020-07-05,"4,303.92","4,311.72","4,328.75","4,302.25",34.21M,-0.18%
2020-07-06,"4,318.45","4,304.93","4,326.34","4,304.93",70.81M,0.34%
2020-07-07,"4,341.04","4,318.96","4,359.10","4,318.96",55.21M,0.52%
2020-07-08,"4,311.86","4,340.22","4,340.22","4,310.98",48.41M,-0.67%
2020-07-09,"4,295.48","4,311.86","4,321.32","4,285.31",44.66M,-0.38%
2020-07-12,"4,316.18","4,291.54","4,320.30","4,291.54",30.64M,0.48%
2020-07-13,"4,307.01","4,315.67","4,319.17","4,285.15",32.18M,-0.21%
2020-07-14,"4,287.82","4,304.46","4,305.80","4,272.62",41.75M,-0.45%
2020-07-15,"4,221.11","4,289.35","4,293.97","4,221.11",48.18M,-1.56%
2020-07-16,"4,274.46","4,221.34","4,274.46","4,221.34",41.45M,1.26%
2020-07-19,"4,255.78","4,274.76","4,277.78","4,249.69",22.84M,-0.44%
2020-07-20,"4,238.50","4,255.78","4,259.22","4,200.95",64.09M,-0.41%
2020-07-21,"4,256.66","4,238.74","4,256.66","4,214.83",60.73M,0.43%
2020-07-22,"4,262.19","4,256.90","4,273.67","4,238.68",60.48M,0.13%
2020-07-23,"4,261.07","4,259.13","4,285.22","4,246.05",36.01M,-0.03%
2020-07-26,"4,285.30","4,262.37","4,298.54","4,256.88",53.62M,0.57%
2020-07-27,"4,330.75","4,284.19","4,330.90","4,284.19",43.16M,1.06%
2020-07-28,"4,324.33","4,330.75","4,335.28","4,297.98",81.05M,-0.15%
2020-07-29,"4,304.74","4,324.33","4,334.00","4,286.24",87.11M,-0.45%
2020-08-03,"4,324.14","4,304.74","4,330.92","4,297.66",74.61M,0.45%
2020-08-04,"4,318.00","4,324.10","4,345.22","4,314.11",52.35M,-0.14%
2020-08-05,"4,305.92","4,318.00","4,342.76","4,305.92",54.18M,-0.28%
2020-08-06,"4,359.58","4,308.98","4,359.58","4,308.98",36.59M,1.25%
2020-08-09,"4,331.49","4,359.58","4,367.02","4,325.28",46.52M,-0.64%
2020-08-10,"4,353.71","4,322.54","4,379.05","4,318.62",88.26M,0.51%
2020-08-11,"4,368.21","4,353.48","4,392.34","4,352.67",86.33M,0.33%
